Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
UTI Small Cap Fund - Regular Plan,3773.05,2.51,7,4.22,4,12.16,1,14.56,2,17.49,8,17.75,15,30.25,15,30.83,16,42.81,18,34.22,18,23.3,16,-,-,-,-,-,-,-,-,-,-,-,-,29.48,-,17.95,15
NIFTY Smallcap 100 Total Return Index,,2.28,,3.04,,9.45,,10.53,,15.94,,23.42,,46.43,,47.21,,71.63,,49.44,,24.61,,25.67,,15.26,,14.16,,16.48,,15.01,,18.46,,,,23.79,
NIFTY Smallcap 100 Index,,2.26,,3,,9.37,,10.42,,15.82,,23.12,,45.91,,46.69,,70.47,,48.28,,23.55,,24.46,,14.17,,13.06,,15.24,,13.74,,17.05,,,,23.49,
NIFTY Midcap 100 Total Return Index,,1.9,,2.47,,5.62,,10.65,,13.32,,21.32,,39.17,,39.42,,58.09,,46.33,,28.73,,26.98,,18.85,,18.52,,19.61,,18.02,,19.77,,,,22.24,
BSE 500 Total Return Index,,1.87,,2.88,,4.96,,9.56,,11.28,,18.57,,33.11,,32.79,,39.26,,31.58,,20.36,,20.01,,16.76,,15.21,,16.55,,14.69,,17.04,,,,18.19,
BSE 250 SmallCap Total Return Index,,2.17,,3.28,,10.33,,11.4,,16.12,,23.17,,39.66,,40.62,,60.53,,47.1,,27.3,,27.86,,17.47,,16.29,,16.94,,14.91,,-,,,,24.08,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,10,,10,,10,,10,,10,,9,,3,,11,,11
Peer Average,,1.69,,2.82,,5.41,,9.96,,12.67,,21.36,,37.68,,37.38,,48.13,,37.83,,24.58,,21.87,,16.59,,15.98,,18.17,,17.04,,18.76,,,,21.12,
Aditya Birla Sun Life Pure Value Fund - Regular Plan,5775.03,2.48,1,3.86,1,6.53,2,7.78,10,9.09,10,17.92,11,33.55,9,33.62,9,51.93,4,41.52,2,23.11,7,19.93,8,13.18,10,13.86,9,18.72,6,17.42,4,-,-,16.84,-,18.23,9
Bandhan Sterling Value Fund - Regular Plan,9019.36,1.56,7,2.34,8,5.28,4,8.98,8,10.82,9,20.85,8,32.83,10,32.82,10,42.89,8,36.03,6,24.79,6,24.01,2,17.33,4,17.44,2,18.92,4,18.76,2,-,-,17.98,-,20.64,7
Canara Robeco Value Fund - Regular Plan,1183.15,1.82,3,2.57,6,4.06,11,9.06,7,11.44,8,18.35,9,33.61,8,33.81,8,40.41,11,35.44,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.89,-,17.73,11
HDFC Capital Builder Value Fund,6823.27,0.96,11,2.17,10,5.21,6,10.5,3,13.34,4,20.85,7,38.05,4,37.8,4,45.64,7,35.41,8,22.57,8,19.41,9,15.74,8,15.31,7,17.19,8,16.64,5,18.79,2,15.03,-,20.67,6
HSBC Value Fund,12373.16,1.36,9,2.55,7,5.26,5,12.05,2,15.17,3,27.45,1,43.92,3,44.35,1,61.13,1,46.19,1,28.46,1,24.28,1,17.8,3,18.79,1,21.48,1,-,-,-,-,17.88,-,27.19,1
ICICI Prudential Value Discovery Fund,42669.05,1.7,6,3.14,4,4.71,9,7.43,11,8.44,11,18.1,10,32.37,11,31.29,11,42.56,9,34.8,9,26.14,5,23.93,4,18.28,2,16.75,4,19.77,2,20.12,1,-,-,20.84,-,18.19,10
Nippon India Value Fund,7651.64,1.53,8,2.26,9,4.17,10,8.94,9,12.57,7,20.9,6,44.73,1,44.19,2,55.93,2,41.05,3,26.26,4,23.76,5,19,1,17.3,3,18.74,5,16.53,6,-,-,17.58,-,20.82,5
Quantum Long Term Equity Value Fund - Regular Plan,1084.59,1.17,10,2.11,11,6.31,3,10.32,5,13,6,21.53,5,35.58,7,34.86,7,42.02,10,31.73,11,19.44,10,16.96,10,13.82,9,13.1,10,15.07,10,15.4,8,-,-,14.46,-,20.5,8
Tata Equity PE Fund - Regular Plan,7904.83,2.39,2,3.66,2,4.92,8,10.21,6,15.51,2,24.25,2,44.41,2,43.93,3,52.22,3,40.28,4,26.75,3,21.32,6,16.33,7,16.74,5,18.99,3,17.62,3,19.49,1,19.57,-,24.22,2
Templeton India Value Fund,1978.03,1.79,4,2.92,5,4.96,7,10.39,4,13.02,5,21.82,4,37.83,5,37.18,6,48.68,5,39.92,5,27.42,2,23.94,3,17.18,6,16.33,6,17.3,7,15.72,7,18.01,3,17.2,-,21.92,4
UTI Value Fund - Regular Plan,9125.24,1.78,5,3.45,3,8.06,1,13.94,1,16.95,1,22.96,3,37.57,6,37.36,5,45.97,6,33.76,10,20.83,9,21.21,7,17.2,5,14.16,8,15.54,9,15.18,9,-,-,15.8,-,22.17,3
BSE Enhanced Value Total Return Index,,2.6,,2.42,,-1.55,,3.66,,11.37,,31.85,,64.63,,64.02,,94.28,,70.83,,43.43,,33.68,,21.59,,15.61,,17.37,,15.72,,-,,,,32.93,
BSE Enhanced Value Index,,2.5,,2.31,,-1.76,,3.14,,10.81,,30.36,,60.36,,59.77,,87.6,,62.84,,36.21,,27.94,,16.94,,-,,-,,-,,-,,,,31.43,
NIFTY 50 Total Return Index,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,24.78,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,16.25,,,,12.57,
NIFTY Midcap 100 Total Return Index,,1.9,,2.47,,5.62,,10.65,,13.32,,21.32,,39.17,,39.42,,58.09,,46.33,,28.73,,26.98,,18.85,,18.52,,19.61,,18.02,,19.77,,,,22.24,
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
BSE 500 Total Return Index,,1.87,,2.88,,4.96,,9.56,,11.28,,18.57,,33.11,,32.79,,39.26,,31.58,,20.36,,20.01,,16.76,,15.21,,16.55,,14.69,,17.04,,,,18.19,
NIFTY 500 Total Return Index,,1.86,,2.87,,4.98,,9.42,,11.31,,18.62,,33.35,,33.05,,39.63,,31.73,,20.4,,19.82,,16.61,,15.08,,16.45,,14.45,,16.98,,,,18.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector-MNC Schemes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,3,,3,,3,,3,,3,,4,,4
Peer Average,,1.75,,1.83,,7.24,,11.97,,13.27,,16.73,,24.01,,23.62,,32,,25.12,,15.48,,17.51,,12.33,,13.93,,16.37,,17.33,,18.76,,,,16.83,
Aditya Birla Sun Life MNC Fund - Regular Plan,3782.46,1.28,4,1.53,4,7.59,2,14.63,1,17.95,1,21.19,1,30.11,1,29.8,1,39.61,1,26.42,2,13.29,3,13.41,4,10.84,3,13.62,3,16.1,3,17.82,1,18.11,2,17.75,-,21.23,1
ICICI Prudential MNC Fund,1668.85,2.02,2,1.94,2,6.1,4,11.09,3,11.83,3,17.1,3,24.51,3,24.02,3,35.26,3,27.15,1,18.95,1,23.05,1,-,-,-,-,-,-,-,-,-,-,22.92,-,17.98,3
SBI Magnum Global Fund,6365.86,1.58,3,1.76,3,6.19,3,9.09,4,8.92,4,7.64,4,11.42,4,11.13,4,17.6,4,20.71,4,12.6,4,17.26,2,13.31,1,13.99,2,16.83,1,16.7,3,20.34,1,14.61,-,7.31,4
UTI MNC Fund - Regular Plan,2863.72,2.13,1,2.08,1,9.1,1,13.09,2,14.39,2,21.01,2,30.03,2,29.54,2,35.53,2,26.18,3,17.08,2,16.31,3,12.85,2,14.17,1,16.19,2,17.49,2,17.83,3,16.47,-,20.81,2
NIFTY MNC Total Return Index,,1.74,,1.55,,5.47,,12.94,,16.84,,27.84,,40.91,,40.33,,41.96,,32.56,,21.93,,20.07,,15.52,,16.04,,17.41,,17.03,,18.48,,,,27.04,
NIFTY MNC Index,,1.74,,1.55,,5.36,,12.77,,16.63,,27.45,,40.19,,39.61,,40.78,,31.37,,20.56,,18.5,,13.96,,14.51,,15.86,,15.53,,16.84,,,,26.66,
NIFTY 50 Total Return Index,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,24.78,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,16.25,,,,12.57,
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gennext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,7,,6,,6,,4,,,,9,,9
Peer Average,,1.09,,1.4,,7.15,,8.91,,12,,16.25,,29.07,,29.09,,35.46,,30.22,,21.01,,20.28,,15.99,,15.88,,17.43,,15.98,,,,,,16.25,
Aditya Birla Sun Life India GenNext Fund - Regular Plan,5026.93,0.93,6,1.43,5,7.24,6,9.08,6,12.36,5,15.94,5,27.32,8,27.02,8,32.57,9,28.19,8,19.45,7,19.72,6,16.31,5,17.48,3,19.05,1,18.45,1,-,-,17.37,-,15.71,5
Baroda BNP Paribas India Consumption Fund - Regular Plan,1268.35,0.98,5,1.02,6,7.45,4,9.74,3,12.5,4,17.36,4,30.03,4,30.07,4,34.43,5,29.64,6,20.12,6,20.94,4,-,-,-,-,-,-,-,-,-,-,21.15,-,17.33,4
Canara Robeco Consumer Trends Fund - Regular Plan,1486.28,1.2,4,1.47,4,6.37,8,6.83,9,11.15,8,17.8,3,30.8,3,30.97,3,35.21,4,31.69,4,21,4,21.58,2,17.95,1,17.92,1,18.73,3,-,-,-,-,17.26,-,18.24,3
ICICI Prudential Bharat Consumption Fund,2349.54,0.66,8,0.7,9,4.92,9,7.1,8,8,9,13.6,8,27.76,7,27.29,7,37.6,2,28.61,7,23.71,2,19.5,7,-,-,-,-,-,-,-,-,-,-,18.5,-,13.92,8
Mirae Asset Great Consumer Fund - Regular Plan,3409.2,1.58,2,2.04,2,7.76,2,9.63,4,13.08,3,15.4,6,29.32,5,29.19,6,34.43,6,32.21,2,22.29,3,20.95,3,17.84,2,17.49,2,19.02,2,-,-,-,-,18.02,-,14.98,6
Nippon India Consumption Fund,833.95,0.87,7,0.99,7,6.53,7,9.82,1,13.85,1,19.41,2,32.27,1,32.35,1,40.69,1,33.25,1,25.04,1,24.88,1,17.38,3,14.86,5,17.54,4,16.65,2,-,-,16.24,-,20.18,1
Sundaram Consumption Fund - Regular Plan,1393.03,1.49,3,2.14,1,7.68,3,9.78,2,11.65,7,12.31,9,24.33,9,24.37,9,33.13,8,29.69,5,19.23,8,17.28,9,12.57,7,15.38,4,16.66,5,15.25,3,-,-,12.97,-,12.09,9
Tata India Consumer Fund - Regular Plan,1941.77,1.61,1,1.87,3,9.04,1,8.87,7,12.13,6,14.44,7,28.7,6,29.46,5,36.94,3,32.12,3,20.8,5,19.99,5,16.41,4,-,-,-,-,-,-,-,-,18.31,-,14.46,7
UTI India Consumer Fund - Regular Plan,602.97,0.49,9,0.96,8,7.35,5,9.33,5,13.26,2,19.95,1,31.11,2,31.09,2,34.17,7,26.58,9,17.46,9,17.66,8,13.51,6,12.16,6,13.55,6,13.59,4,-,-,10.8,-,19.32,2
BSE 500 Total Return Index,,1.87,,2.88,,4.96,,9.56,,11.28,,18.57,,33.11,,32.79,,39.26,,31.58,,20.36,,20.01,,16.76,,15.21,,16.55,,14.69,,17.04,,,,18.19,
BSE 500 Index,,1.85,,2.8,,4.78,,9.12,,10.83,,17.88,,32.02,,31.7,,37.61,,29.92,,18.82,,18.47,,15.3,,13.75,,15.02,,13.15,,15.67,,,,17.5,
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
NIFTY India Consumption Total Return Index,,0.66,,0.42,,5.39,,7.88,,10.61,,17.6,,33.32,,32.89,,35.25,,29.44,,21.77,,19.71,,15.44,,15.36,,16.98,,16.06,,-,,,,17.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banking & Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,11,,11,,11,,11,,11,,11,,11,,11,,11,,10,,10,,8,,8,,6,,5,,5,,2,,11,,11
Peer Average,,1.37,,3.12,,5.67,,8.02,,11.65,,14.29,,24.71,,24.72,,27.83,,31.7,,17.6,,13.92,,13.05,,14.39,,15.62,,15.17,,17.79,,,,13.82,
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,3069.78,1.26,9,3.72,2,5.88,4,7.13,9,10.39,9,13.25,9,18.38,11,18.75,11,24.98,8,30.82,6,16.56,8,13.36,6,12.25,6,15.06,3,-,-,-,-,-,-,17.91,-,12.89,8
HDFC Banking & Financial Services Fund - Regular Plan,3294.6,1.29,7,3.07,5,5.58,7,8.32,6,12.36,4,13.5,7,24.77,4,24.59,5,25.41,7,31.45,5,16.99,5,-,-,-,-,-,-,-,-,-,-,-,-,16.71,-,13.07,6
ICICI Prudential Banking and Financial Services Fund,7107.43,1.53,3,3.94,1,7.36,2,9.8,1,11.84,6,14.07,6,22.06,9,21.4,9,22.61,11,26.5,10,14.61,10,11.83,7,11.44,7,14.53,4,17.31,1,16.52,1,-,-,17.01,-,12.92,7
Invesco India Financial Services Fund,908.75,1.04,10,2.43,11,4.33,10,5.86,11,10.22,11,16.3,2,32.31,2,32.69,1,35.33,1,35.34,2,18.94,3,15.29,2,14.22,3,15.74,1,16.61,2,16.26,2,-,-,16.99,-,16.16,2
Kotak Banking & Financial Services Fund - Regular Plan,854.26,0.97,11,2.89,7,5.15,8,8.36,5,12.27,5,14.49,4,23.03,7,23.05,7,24.27,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.58,-,13.77,5
Mirae Asset Banking and Financial Services Fund - Regular Plan,1671.29,1.31,5,3.5,4,6.77,3,8.78,2,13.34,1,15.58,3,23.47,6,23.35,6,27.48,4,30.72,7,17.82,4,-,-,-,-,-,-,-,-,-,-,-,-,19.68,-,14.82,3
Nippon India Banking & Financial Services Fund,5462.71,1.34,4,3.07,6,5.65,6,7.78,8,10.28,10,12.35,10,22.81,8,22.94,8,26.9,5,32.43,3,19.88,2,13.71,5,12.67,5,14.21,5,15.89,3,16.01,3,19.13,1,21.11,-,12.12,10
SBI Banking & Financial Services Fund - Regular Plan,5387.33,1.85,2,3.61,3,4.55,9,8.62,4,12.85,2,19.11,1,32.32,1,32.27,2,33.54,3,30.55,8,16.72,7,14.68,3,15.42,1,-,-,-,-,-,-,-,-,15.28,-,18.83,1
Sundaram Financial Services Opportunities Fund - Regular Plan,1268.85,1.29,8,2.49,10,4.05,11,6.9,10,10.77,8,14.43,5,28.17,3,27.97,3,34.98,2,37.28,1,21.52,1,17.38,1,15.18,2,15.16,2,15.51,4,14.2,4,-,-,15.41,-,14,4
Tata Banking and Financial Services Fund - Regular Plan,2048.3,1.9,1,2.72,9,7.36,1,8.66,3,12.62,3,10.74,11,19.74,10,20.04,10,24.96,9,32.08,4,16.72,6,14.11,4,13.44,4,-,-,-,-,-,-,-,-,17.33,-,10.56,11
UTI Banking and Financial Services Fund - Regular Plan,1056.18,1.31,6,2.85,8,5.67,5,8.04,7,11.17,7,13.36,8,24.76,5,24.92,4,25.68,6,29.84,9,16.27,9,10.96,8,9.75,8,11.64,6,12.76,5,12.87,5,16.44,2,15.14,-,12.85,9
NIFTY Financial Services Total Return Index,,1.42,,4.32,,5.95,,10.46,,13.59,,13.34,,22.15,,21.68,,19.26,,24.8,,14.31,,12.49,,14.86,,15.09,,16.46,,15.59,,19.47,,,,12.12,
NIFTY Financial Services Index,,1.4,,4.27,,5.87,,9.76,,12.86,,12.55,,21.23,,20.76,,18.12,,23.65,,13.3,,11.68,,14.06,,14.19,,15.49,,14.54,,18.22,,,,11.34,
NIFTY Bank,,0.41,,3.29,,4.14,,8.51,,11.48,,11.29,,19.57,,19.08,,17.56,,25.69,,15.08,,11.07,,12.49,,13.13,,14.47,,13.86,,17.01,,,,9.93,
NIFTY Bank Total Return Index,,0.48,,3.38,,4.23,,9.21,,12.19,,12,,20.34,,19.84,,18.61,,26.78,,16,,11.71,,13.08,,13.8,,15.24,,14.73,,18.21,,,,10.64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,4,,4,,4,,4,,5,,5
Peer Average,,3.49,,5.46,,12.44,,11.44,,8.5,,13.94,,26.39,,26.23,,37.62,,24.73,,14.67,,25.41,,24.28,,18.47,,20.01,,19.85,,18.3,,,,11.55,
Aditya Birla Sun Life Digital India Fund - Regular Plan,4294.58,3.31,3,5.17,4,11.94,4,11.67,4,6.88,5,8.1,5,20.07,5,19.96,5,30.38,5,22.77,3,13.19,4,25.92,2,24.63,3,19.19,1,20.37,2,18.01,4,17.55,4,12.18,-,5.67,5
Franklin India Technology Fund,1435.18,2.84,5,4.93,5,12.24,3,8.61,5,9.05,2,20.3,1,36.59,1,36.98,1,54.05,1,34.61,1,17.68,1,25.58,3,23.13,5,18.02,3,19.03,4,19.42,3,17.56,3,19.49,-,18.1,1
ICICI Prudential Technology Fund,11751.34,3.66,2,5.71,2,12.55,2,12.25,3,8.69,3,12.86,4,23.9,3,23.66,3,34.8,3,20.38,5,12.92,5,26.36,1,24.79,2,18.88,2,21,1,22.23,1,19.99,1,12.8,-,10.47,4
SBI Technology Opportunities Fund,3496.62,3.15,4,5.65,3,11.48,5,12.4,1,9.22,1,13.5,3,22.76,4,22.16,4,30.76,4,22.37,4,14.71,3,24.05,5,23.44,4,17.78,4,19.63,3,19.74,2,18.09,2,15.65,-,11.2,3
Tata Digital India Fund - Regular Plan,9223.32,4.46,1,5.85,1,14,1,12.27,2,8.67,4,14.95,2,28.64,2,28.39,2,38.09,2,23.52,2,14.85,2,25.13,4,25.42,1,-,-,-,-,-,-,-,-,19.73,-,12.33,2
BSE Teck Total Return Index,,3.26,,5.45,,10.92,,12.99,,9.07,,13.4,,23.06,,22.84,,33.32,,17.94,,11.92,,19.93,,19.85,,14.83,,16.75,,15.32,,15.74,,,,10.86,
BSE Teck Index,,3.25,,5.42,,10.87,,12.19,,8.3,,12.45,,21.28,,21.06,,30.89,,15.77,,9.98,,17.87,,17.77,,12.79,,14.75,,13.43,,14.16,,,,9.92,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividend Yield Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,9,,9,,9,,9,,9,,9,,9,,9,,9,,8,,8,,6,,5,,5,,4,,4,,1,,9,,9
Peer Average,,1.88,,2.62,,4.36,,9.39,,11.9,,21.54,,38.32,,37.99,,48.9,,36.98,,24.06,,23.11,,16.91,,15.24,,16.06,,15.61,,16.81,,,,21.23,
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,1366.05,2.36,1,2.92,3,4.96,4,8.65,6,11.03,6,19.54,6,39.05,5,38.42,5,51.93,3,41.47,1,24.51,4,23.42,4,15.32,5,13.88,5,15.06,4,15.44,3,16.81,1,19.54,-,18.88,7
HDFC Dividend Yield Fund - Regular Plan,5144.72,2.07,3,3.5,1,5.39,3,9.78,3,11.88,4,19.06,7,34.9,7,34.53,7,48.06,5,38.06,4,26.72,2,-,-,-,-,-,-,-,-,-,-,-,-,29.61,-,19,6
ICICI Prudential Dividend Yield Equity Fund,3930.84,1.29,9,2.63,4,3.44,6,6.85,8,8.83,9,22.43,3,40.98,2,40.15,2,53.52,2,40.28,3,29.41,1,24.52,1,16.87,3,15.98,2,-,-,-,-,-,-,17.1,-,22.33,3
LIC MF Dividend Yield Fund - Regular Plan,189.29,1.88,5,3.06,2,6.75,1,12.79,2,17.13,1,31.48,1,48.9,1,49.1,1,59.96,1,40.31,2,24.72,3,24.22,2,-,-,-,-,-,-,-,-,-,-,23.02,-,31.2,1
SBI Dividend Yield Fund - Regular Plan,7629.65,1.65,7,2.12,8,4.48,5,9.72,4,11.27,5,20.12,5,32.07,9,31.76,9,38.15,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.57,-,19.04,5
Sundaram Dividend Yield Fund,872.3,1.75,6,2.32,6,3.04,7,7.38,7,9.03,8,17.59,9,35.85,6,35.43,6,44.3,8,32.51,7,20.65,8,20.9,6,16.89,2,15.27,3,16.21,2,15.45,2,-,-,14.21,-,17.47,9
Tata Dividend Yield Fund - Regular Plan,927.04,1.6,8,2.28,7,2.65,8,9.68,5,13.16,3,18.78,8,33.28,8,33.74,8,45.43,7,35.79,5,21.67,6,-,-,-,-,-,-,-,-,-,-,-,-,21.67,-,18.64,8
Templeton India Equity Income Fund,2210.68,2.06,4,2.07,9,1.77,9,6.8,9,9.06,7,21.21,4,40.5,3,39.85,3,48,6,32.27,8,23.54,5,24.22,3,18.61,1,16.59,1,17.83,1,16.63,1,-,-,15.61,-,21.33,4
UTI Dividend Yield Fund - Regular Plan,3776.13,2.21,2,2.63,5,6.74,2,12.82,1,15.7,2,23.62,2,39.32,4,38.96,4,50.78,4,35.12,6,21.23,7,21.4,5,16.86,4,14.47,4,15.15,3,14.93,4,-,-,15.96,-,23.17,2
NIFTY Dividend Opportunities 50 Total Return Index,,2.37,,2.26,,2.4,,6.92,,9.05,,19.47,,40.39,,39.85,,50.45,,39.67,,26.57,,21.7,,17.84,,14.54,,15.42,,16.53,,-,,,,18.96,
NIFTY Dividend Opportunities 50 Index,,2.36,,2.24,,2.1,,6.14,,8.26,,17.99,,38,,37.46,,47.41,,37.05,,23.76,,18.72,,14.85,,11.64,,12.45,,13.63,,-,,,,17.49,
NIFTY 50 Total Return Index,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,24.78,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,16.25,,,,12.57,
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
BSE 500 Total Return Index,,1.87,,2.88,,4.96,,9.56,,11.28,,18.57,,33.11,,32.79,,39.26,,31.58,,20.36,,20.01,,16.76,,15.21,,16.55,,14.69,,17.04,,,,18.19,
NIFTY 500 Total Return Index,,1.86,,2.87,,4.98,,9.42,,11.31,,18.62,,33.35,,33.05,,39.63,,31.73,,20.4,,19.82,,16.61,,15.08,,16.45,,14.45,,16.98,,,,18.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSU Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,4,,4,,4,,4,,4,,4,,4,,4,,4,,3,,3,,2,,2,,2,,2,,,,,,4,,4
Peer Average,,1.86,,1.04,,-3.24,,5.78,,12.06,,33.63,,64.56,,64.54,,91.22,,65.72,,39.8,,27.44,,18.54,,15.43,,14.89,,,,,,,,34.73,
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,4711.18,1.68,3,0.88,4,-4.01,4,2.53,4,8.13,4,28.29,4,60.61,4,61.05,4,91,3,63.61,3,40.09,1,-,-,-,-,-,-,-,-,-,-,-,-,32.53,-,29.41,4
ICICI Prudential PSU Equity Fund,2588.85,1.63,4,0.9,2,-3.28,2,3.77,3,9.16,3,31.25,3,63.91,2,62.9,2,82.84,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.28,-,32.65,3
Invesco India PSU Equity Fund,1362.82,2.16,1,1.49,1,-2.32,1,12.81,1,19.24,1,41.56,1,72.51,1,72.73,1,95.36,2,68.65,1,39.99,2,29.96,1,20.69,1,18.36,1,17.53,1,-,-,-,-,14.02,-,42.65,1
