Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Peer Average,,133.91,,-0.43,,-2.23,,14.48,,9.31,,5.76,,2.26,,5.76,,7.27,,,,,,,,,,,,,,,,
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Regular Plan,82.61,38.45,4,3.63,2,6.74,2,12.33,5,6.37,5,4.82,5,3.31,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.35,-,1.97
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Regular Plan,240.19,153.07,3,-2.77,3,-5.97,3,14.48,3,9.95,3,5.58,4,0.69,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.98,-,5.81
Axis US Treasury Dynamic Bond ETF FoF - Regular Plan,97.34,251.67,1,-6.34,5,-12.68,5,17.02,1,12.51,1,6.23,2,-0.54,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.04,-,8.42
Bandhan US Treasury Bond 0-1 year FoF - Regular Plan,173.12,16.61,5,6.93,1,9.35,1,12.39,4,6.4,4,5.81,3,5.6,1,5.76,1,7.27,1,-,-,-,-,-,-,-,-,-,-,-,-,6.06,-,-
DSP US Treasury FoF - Regular Plan,65.43,209.78,2,-3.58,4,-8.6,4,16.21,2,11.33,2,6.35,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.31,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Return as on :02-July-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
