Weekly NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Kotak Corporate Bond Fund - Standard Plan - Direct Plan,3602.3744,3597.5755,0.13,8,12541.1
SBI Corporate Bond Fund - Direct Plan,14.6102,14.5886,0.15,5,20025.72
CRISIL Short-Term Bond Index,-,4670.78,-,,
,,,,,
Retirement Fund 40,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Regular Plan,17.588,17.433,0.89,5,107.66
Axis Retirement Savings Fund - Aggressive Plan - Regular Plan,17.75,17.47,1.6,2,844.96
HDFC Retirement Savings Fund - Hybrid Equity Plan - Regular Plan,37.321,36.995,0.88,6,1414.34
ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,24.54,24.25,1.2,4,476.86
SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Regular Plan,18.8457,18.6132,1.25,3,1392.05
Tata Retirement Savings Fund - Moderate Plan - Regular Plan,62.0425,60.9205,1.84,1,1991.29
CRISIL Hybrid 35+65 Aggressive Index,-,19522.08,-,,
,,,,,
Nifty Midcap,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan,23.2563,22.8275,1.88,3,196.37
Axis Nifty Midcap 50 Index Fund - Regular Plan,18.8883,18.5744,1.69,10,313.07
DSP Nifty Midcap 150 Quality 50 Index Fund - Regular Plan,14.8322,14.5618,1.86,9,244.58
HDFC NIFTY Midcap 150 Index Fund - Regular Plan,17.793,17.466,1.87,7,147.44
ICICI Prudential Nifty Midcap 150 Index Fund,18.4142,18.0743,1.88,3,436.55
Motilal Oswal Nifty Midcap 150 Index Fund - Regular Plan,36.5861,35.9085,1.89,2,1590.74
Navi Nifty Midcap 150 Index Fund - Regular Plan,19.4744,19.1161,1.87,7,150.36
Nippon India Nifty Midcap 150 Index Fund - Regular Plan,23.8308,23.39,1.88,3,1312.56
SBI Nifty Midcap 150 Index Fund - Regular Plan,18.1003,17.7661,1.88,3,445.99
Tata Nifty Midcap 150 Momentum 50 Index Fund - Regular Plan,18.5843,18.3377,1.34,11,323.11
UTI Nifty Midcap 150 Quality 50 Index Fund - Regular Plan,14.4554,14.1849,1.91,1,202.42
NIFTY Midcap 150 Total Return Index,26573.14,26077.01,1.9,,
,,,,,
Nifty Smallcap,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,20.8651,20.4629,1.97,6,161.66
Axis Nifty Smallcap 50 Index Fund - Regular Plan,18.2489,17.8989,1.96,7,310.57
Edelweiss Nifty Smallcap 250 Index Fund - Regular Plan,17.9329,17.526,2.32,4,52.8
HDFC NIFTY Smallcap 250 Index Fund - Regular Plan,18.893,18.464,2.32,4,178.99
Kotak Nifty Smallcap 50 Index Fund - Regular Plan,20.192,19.805,1.95,8,59.73
Motilal Oswal Nifty Smallcap 250 Index Fund - Regular Plan,37.7254,36.8667,2.33,1,687.59
Nippon India Nifty Smallcap 250 Index Fund - Regular Plan,33.8854,33.1144,2.33,1,1318.53
SBI Nifty Smallcap 250 Index Fund - Regular Plan,18.8737,18.4445,2.33,1,746.91
NIFTY Smallcap 50 Total Return Index,10769.94,10559.26,2,,
,,,,,
Nifty 50 Equal Weight,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Regular Plan,17.1271,16.8144,1.86,1,273.84
DSP Nifty 50 Equal Weight Index Fund - Regular Plan,24.3702,23.9261,1.86,1,1408.53
HDFC NIFTY 100 Equal Weight Index Fund - Regular Plan,16.378,16.0986,1.74,6,192.02
HDFC NIFTY50 Equal Weight Index Fund - Regular Plan,16.8198,16.5123,1.86,1,1137.16
ICICI Prudential Nifty50 Equal Weight Index Fund,15.5553,15.2713,1.86,1,61.76
UTI NIFTY50 Equal Weight Index Fund - Regular Plan,13.8987,13.6455,1.86,1,72.39
NIFTY 50 Equal Weight Total Return Index,51560.65,50601.92,1.89,,
,,,,,
Business Cycle,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,14.8,14.59,1.44,5,1701.46
Axis Business Cycles Fund - Regular Plan,16.16,15.81,2.21,2,2699.44
Baroda BNP Paribas Business Cycle Fund - Regular Plan,16.0371,15.6819,2.27,1,527.46
HDFC Business Cycle Fund - Regular Plan,14.369,14.251,0.83,7,2906.75
HSBC Business Cycles Fund - Regular Plan,41.9294,41.2003,1.77,3,856.13
ICICI Prudential Business Cycle Fund,22.66,22.37,1.3,6,9663.24
Kotak Business Cycle Fund - Regular Plan,15.043,14.962,0.54,8,2470.51
Tata Business Cycle Fund - Regular Plan,19.3716,19.0732,1.56,4,2311.19
S&P BSE 500 Total Return Index,45722.94,44881.48,1.87,,
,,,,,
Healthcare ETF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty Healthcare ETF,12.8971,12.6312,2.11,1,41.38
Axis NIFTY Healthcare ETF,127.9452,125.3079,2.1,3,16.16
ICICI Prudential Nifty Healthcare ETF,128.4213,125.7666,2.11,1,114
Motilal Oswal BSE Healthcare ETF,37.6803,36.9392,2.01,4,14.11
NIFTY Healthcare Total Return Index.,14883.51,14575.38,2.11,,
,,,,,
Nifty IT ETF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty IT ETF,38.9106,36.9354,5.35,5,73.27
Axis NIFTY IT ETF,395.3462,375.2546,5.35,5,126.7
HDFC NIFTY IT ETF,38.2806,36.3332,5.36,2,48.93
ICICI Prudential Nifty IT ETF,39.7938,37.7675,5.37,1,409.68
Kotak Nifty IT ETF,39.6196,37.6024,5.36,2,184.23
Nippon India ETF Nifty IT,39.8503,37.8249,5.35,5,2332.29
SBI Nifty IT ETF,397.7794,377.5536,5.36,2,80.67
NIFTY IT Total Return Index,51517.42,48883.46,5.39,,
,,,,,
Silver ETF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Silver ETF,90.7831,88.0153,3.14,3,382.71
Axis Silver ETF,90.3464,87.053,3.78,2,113.83
DSP Silver ETF,87.8044,85.1316,3.14,3,150.98
HDFC Silver ETF,88.2076,83.2532,5.95,1,195.97
ICICI Prudential Silver ETF,90.7296,87.9637,3.14,3,2644.07
Kotak Silver ETF,88.3662,85.6791,3.14,3,538.9
Mirae Asset Silver ETF,88.8009,86.112,3.12,9,63.51
Nippon India Silver ETF,87.5218,84.8605,3.14,3,2731.83
UTI Silver ETF,89.4515,86.7347,3.13,8,77.11
Domestic Price of Silver,89.44,86.65,3.23,,
,,,,,
Silver FoF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,14.1703,13.8699,2.17,6,140.04
Axis Silver FoF - Regular Plan,15.6682,15.3363,2.16,7,41.85
HDFC Silver ETF FoF - Regular Plan,15.226,14.862,2.45,2,89.47
ICICI Prudential Silver ETF FoF,13.9667,13.6507,2.31,4,655.17
Kotak Silver ETF FoF - Regular Plan,12.1794,11.9021,2.33,3,23.31
Nippon India Silver ETF FoF - Regular Plan,13.9864,13.6419,2.53,1,335.8
UTI Silver ETF FoF - Regular Plan,11.9355,11.6667,2.3,5,27.6
Domestic Price of Silver,89.44,86.65,3.23,,
,,,,,
Passive Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life BSE Sensex ETF,78.7901,77.4911,1.68,14,473.71
Aditya Birla Sun Life Gold ETF,64.36,63.5786,1.23,15,803.88
Aditya Birla Sun Life Gold Fund - Regular Plan,21.425,21.2179,0.98,16,353.76
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,36.2199,35.5762,1.81,11,61.89
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,21.4249,20.9251,2.39,3,42.46
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund - Regular Plan,17.1271,16.8144,1.86,10,273.84
Aditya Birla Sun Life Nifty 50 ETF,27.782,27.3027,1.76,12,2291.29
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,243.7141,239.5269,1.75,13,841.35
Aditya Birla Sun Life Nifty Bank ETF,53.7922,53.5425,0.47,17,2591.3
Aditya Birla Sun Life Nifty Healthcare ETF,12.8971,12.6312,2.11,5,41.38
Aditya Birla Sun Life Nifty IT ETF,38.9106,36.9354,5.35,1,73.27
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan,23.2563,22.8275,1.88,9,196.37
Aditya Birla Sun Life Nifty Next 50 ETF,75.0882,73.6778,1.91,7,72.72
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan,17.6185,17.2907,1.9,8,105.96
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,20.8651,20.4629,1.97,6,161.66
Aditya Birla Sun Life Silver ETF,90.7831,88.0153,3.14,2,382.71
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,14.1703,13.8699,2.17,4,140.04
,,,,,
Nifty SDL Plus PSU Bond,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Direct Plan,11.4721,11.454,0.16,1,10797.64
Nifty SDL Plus PSU Bond Sep 2026 60:40 Index,1158.29,1156.48,0.16,,
,,,,,
Nifty SDL Apr 2027 Index,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Direct Plan,11.4645,11.4515,0.11,1,4268.54
Nifty SDL Apr 2027 Index,1152.95,1151.43,0.13,,
,,,,,
CRISIL SDL Plus AAA PSU Apr 2025,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2025 Index Fund - Direct Plan,11.2792,11.2582,0.19,1,243.24
CRISIL IBX 60:40 SDL + AAA PSU Index - April 2025,-,1131.32,-,,
,,,,,
CRISIL SDL Plus AAA PSU Apr 2027,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund - Direct Plan,11.2963,11.2775,0.17,1,1575.66
CRISIL IBX 60:40 SDL + AAA PSU Index - April 2027,-,1134.42,-,,
,,,,,
Domestic + International,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Franklin Asian Equity Fund,27.8436,27.651,0.7,2,228.08
Templeton India Equity Income Fund,138.89,136.0864,2.06,1,2210.68
"S&P BSE 200 TRI(65.00), S&P Global 1200 TRI(35.00)",-,-,-,,
,,,,,
Other Competitor Thematic/Contra Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
360 ONE Quant Fund - Regular Plan,19.0508,18.3884,3.6,1,236.19
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,14.8,14.59,1.44,27,1701.46
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,32.23,31.59,2.03,10,1005.6
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,23.19,22.85,1.49,25,714.83
Axis Innovation Fund - Regular Plan,17.9,17.62,1.59,21,1208.96
Axis Quant Fund - Regular Plan,16.53,16.34,1.16,34,1044.96
Baroda BNP Paribas Business Cycle Fund - Regular Plan,16.0371,15.6819,2.27,7,527.46
DSP Quant Fund - Regular Plan,21.019,20.738,1.36,30,1132.41
Edelweiss Recently Listed IPO Fund  - Regular Plan,26.3441,25.9454,1.54,23,890.55
Franklin India Opportunities Fund,245.7945,244.3278,0.6,42,3933.36
HDFC Housing Opportunities Fund - Regular Plan,24.289,24.032,1.07,37,1444.4
HSBC Business Cycles Fund - Regular Plan,41.9294,41.2003,1.77,18,856.13
ICICI Prudential Business Cycle Fund,22.66,22.37,1.3,32,9663.24
ICICI Prudential Commodities Fund,43.35,42.15,2.85,3,2370.77
ICICI Prudential Exports and Services Fund,151.7,150.03,1.11,35,1284.6
ICICI Prudential FMCG Fund,485.84,481.71,0.86,39,1509.7
ICICI Prudential Housing Opportunities Fund,17,16.69,1.86,15,2555.16
ICICI Prudential India Opportunities Fund,32.66,32.2,1.43,28,19792.23
ICICI Prudential Manufacturing Fund,36.06,35.31,2.12,9,4841.52
ICICI Prudential Nifty Auto ETF,25.591,25.4262,0.65,40,66.37
ICICI Prudential Nifty FMCG ETF,59.8472,59.1092,1.25,33,153.35
ICICI Prudential Quant Fund,21.58,21.15,2.03,10,79.79
ICICI Prudential Thematic Advantage Fund (FOF),-,195.3033,-,,1555.11
Invesco India Contra Fund,127.01,125.08,1.54,23,16189.14
Kotak India EQ Contra Fund - Regular Plan,148.502,146.106,1.64,20,3136.4
Kotak Manufacture in India Fund - Regular Plan,19.045,18.676,1.98,13,2098.36
Kotak Pioneer Fund - Regular Plan,29.499,28.982,1.78,17,2386.41
Mahindra Manulife Consumption Fund - Regular Plan,22.618,22.3768,1.08,36,195.4
Mirae Asset Nifty India Manufacturing ETF,149.0659,146.6296,1.66,19,151.97
Mirae Asset Nifty India Manufacturing ETF FoF - Regular Plan,18.545,18.274,1.48,26,87.16
Nippon India ETF Nifty Dividend Opportunities 50,80.7175,78.8735,2.34,6,51
Nippon India Nifty Auto ETF,255.9082,254.2604,0.65,40,154.5
Nippon India Quant Fund - Retail Plan,68.2049,66.7567,2.17,8,64.87
Quant Quantamental Fund - Regular Plan,24.9297,24.5799,1.42,29,2408.6
SBI Contra Fund,380.3128,375.4068,1.31,31,30520.42
SBI Equity Minimum Variance Fund - Regular Plan,23.7481,23.3069,1.89,14,190.17
SBI Magnum COMMA Fund,101.7465,98.8035,2.98,2,595.31
Sundaram Services Fund - Regular Plan,31.1886,30.6295,1.83,16,3358.02
Tata Business Cycle Fund - Regular Plan,19.3716,19.0732,1.56,22,2311.19
Tata Ethical Fund - Regular Plan,407.7007,397.289,2.62,5,2566.59
Tata Quant Fund - Regular Plan,15.5016,15.1969,2.01,12,57.81
Taurus Ethical Fund - Regular Plan,130.44,126.92,2.77,4,180.69
UTI Transportation and Logistics Fund - Regular Plan,272.0923,269.2808,1.04,38,3435.05
,,,,,
Long Duration Fund,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Long Duration Fund - Direct Plan,11.9181,11.9036,0.12,2,123.26
Axis Long Duration Fund - Direct Plan,1159.4789,1158.0798,0.12,2,256.47
HDFC Long Duration Debt Fund - Direct Plan,11.4931,11.4817,0.1,5,2941.04
ICICI Prudential Long Term Bond Fund - Direct Plan,89.6269,89.5225,0.12,2,840.89
Nippon India Nivesh Lakshya Fund - Direct Plan,16.8561,16.8432,0.08,7,7706.43
SBI Long Duration Fund - Direct Plan,11.6333,11.6224,0.09,6,1847.47
UTI Long Duration Fund - Direct Plan,11.3762,11.3601,0.14,1,89.07
NIFTY Long Duration Debt Index A-III,5736.46,5733.48,0.05,,
,,,,,
Nifty SDL Sep 2025 Index,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Direct Plan,11.3542,11.3339,0.18,1,78.15
Nifty SDL Sep 2025 Index,1139.75,1137.34,0.21,,
,,,,,
CRISIL IBX Gilt - April 2026 Index,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund - Direct Plan,11.3512,11.3353,0.14,1,366.88
CRISIL IBX Gilt Index - April 2026,-,1137.53,-,,
,,,,,
CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,11.4617,11.4391,0.2,1,387.14
CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,-,1152.63,-,,
,,,,,
CRISIL IBX Gilt Apr 2029 Index Fund,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Direct Plan,11.5026,11.4787,0.21,1,686.05
CRISIL IBX Gilt Index - April 2029,-,1142.04,-,,
,,,,,
CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Direct Plan,11.1541,11.1374,0.15,1,51.37
CRISIL IBX 60:40 SDL + AAA PSU Index - April 2026,-,1119.29,-,,
,,,,,
NIFTY SDL Sep 2027 Index,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Direct Plan,11.1126,11.0962,0.15,1,38.96
Nifty SDL Sep 2027 Index,1150.65,1149.26,0.12,,
,,,,,
CRISIL IBX Gilt Apr 2028 Index,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Direct Plan,10.9759,10.9588,0.16,1,27.96
CRISIL IBX Gilt Index - April 2028,-,1211.18,-,,
,,,,,
Multi Index FoF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,15.0044,14.7774,1.54,1,14.03
ICICI Prudential Passive Multi-Asset FoF,13.3785,13.2573,0.91,4,1078.05
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,16.1042,15.8924,1.33,2,65.57
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,14.3161,14.1663,1.06,3,41.39
,,,,,
Multi Asset Allocation,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Multi Asset Allocation Fund - Regular Plan,13.6334,13.461,1.28,5,3370.93
Axis Multi Asset Allocation Fund - Regular Plan,37.4406,36.8235,1.68,4,1197.41
Bank of India Multi Asset Allocation Fund - Regular Plan,10.9367,10.8155,1.12,7,332.43
Baroda BNP Paribas Multi Asset Fund - Regular Plan,14.1771,13.9309,1.77,1,1180.31
HDFC Multi Asset Fund,65.889,65.303,0.9,10,2897.11
ICICI Prudential Multi Asset Fund,685.7207,678.5755,1.05,8,41159.52
Kotak Multi Asset Allocation Fund - Regular Plan,12.764,12.546,1.74,2,6089.4
Nippon India Multi Asset Fund - Regular Plan,19.6795,19.3472,1.72,3,3313.76
Tata Multi Asset Opportunities Fund - Regular Plan,22.2697,22.0184,1.14,6,2863.37
UTI Multi Asset Allocation Fund - Regular Plan,69.4447,68.7278,1.04,9,2026.51
,,,,,
CRISIL IBX AAA Index – March 2024,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
CRISIL IBX AAA Index - March 2024,-,-,-,,
,,,,,
CRISIL IBX SDL Index – June 2032,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Direct Plan,11.2438,11.2303,0.12,1,139.98
CRISIL IBX SDL Index - June 2032,-,1127.01,-,,
,,,,,
Nasdaq 100 FOFs,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,13.6672,13.4052,1.95,4,371.53
Axis NASDAQ 100 FoF - Regular Plan,17.8044,17.4532,2.01,3,166.54
Kotak Nasdaq 100 FOF - Regular Plan,16.8339,16.4961,2.05,2,2974.77
Motilal Oswal Nasdaq 100 FOF - Regular Plan,34.2004,33.8156,1.14,5,4672.55
Navi NASDAQ 100 FoF - Regular Plan,14.9324,14.62,2.14,1,934.53
Nasdaq 100 Total Return Index,-,1984284.45,-,,
Nasdaq 100 Index,-,-,-,,
,,,,,
Liquid ETF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,1000,1000,0.12,1,42.61
DSP NIFTY 1D Rate Liquid ETF,1000,1000,0.12,1,1044.77
ICICI Prudential BSE Liquid Rate ETF,1000,1000,0.12,1,3212.75
Kotak Nifty 1D Rate Liquid ETF,1000,1000,0.12,1,46.13
Mirae Asset Nifty 1D Rate Liquid ETF,1000,1000,0.09,6,404.17
Nippon India ETF Nifty 1D Rate Liquid BeES,1000,1000,0.11,5,11902.65
,,,,,
US Treasury,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Direct Plan,10.3651,10.3576,0.07,2,82.61
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Direct Plan,10.5416,10.547,-0.05,3,240.19
Axis US Treasury Dynamic Bond ETF FoF - Direct Plan,9.9474,9.9594,-0.12,5,97.34
Bandhan US Treasury Bond 0-1 year FoF - Direct Plan,10.7836,10.7692,0.13,1,173.12
DSP US Treasury FoF - Direct Plan,10.186,10.1929,-0.07,4,65.43
,,,,,
Transportation & Logistics,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Transportation and Logistics Fund - Regular Plan,14.57,14.31,1.82,2,1377.16
Bandhan Transportation and Logistics Fund - Regular Plan,18.485,18.074,2.27,1,499.85
HDFC Transportation and Logistics Fund - Regular Plan,16.037,15.816,1.4,3,1009.6
ICICI Prudential Transportation and Logistics Fund,18.46,18.25,1.15,4,2924.15
UTI Transportation and Logistics Fund - Regular Plan,272.0923,269.2808,1.04,5,3435.05
Nifty Transportation & Logistics Total Return Index,31085.93,30707.6,1.23,,
Nifty Transportation & Logistics Index,-,23803.34,-,,
